City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
330,Lazaro Cardenas,MX,73.74,clear sky,17.9583,-102.2,City Express Lázaro Cárdenas
333,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Hotel Mingood
334,Lima,PE,73.99,clear sky,-12.0432,-77.0282,Gran Hotel
337,Manzanillo,CU,74.84,broken clouds,20.3433,-77.1167,Hotel Guacanayabo
338,Ninh Binh,VN,72.43,overcast clouds,20.2539,105.975,The Vancouver Hotel Ninh Binh
340,Prado,BR,77.52,scattered clouds,-17.3411,-39.2208,Casa do Suiço
341,Yarada,IN,75.2,mist,17.65,83.2667,CHENAB
350,Payo,ID,72.21,light rain,-3.7508,103.6372,Roti bakar dan bandrek kasih haldi
351,Boyolangu,ID,83.89,broken clouds,-8.1181,111.8935,Nurwidisari Subangi
359,Cabatuan,PH,82.44,broken clouds,10.8794,122.486,Rosita nunez
361,Itarema,BR,79.41,broken clouds,-2.9248,-39.9167,Pousada Green Space
373,Vanimo,PG,84.22,overcast clouds,-2.6741,141.3028,Sandaun Surf Hotel
389,Ambilobe,MG,73.53,light rain,-13.2,49.05,Noor Hotel
391,Qui Nhon,VN,78.55,clear sky,13.7667,109.2333,Kim Khanh Hotel
395,Boca Do Acre,BR,73.4,overcast clouds,-8.7522,-67.3978,Hotel Alice
399,Belmonte,BR,77.0,few clouds,-15.8631,-38.8828,Pousada Belmonte
400,Gua Musang,MY,78.08,overcast clouds,4.8823,101.9644,titiwangsa inn gm
402,Manokwari,ID,82.17,heavy intensity rain,-0.8667,134.0833,RedDoorz Plus @ Manokwari City Center
405,Sangamner,IN,72.7,clear sky,19.5667,74.2167,Malpani Palace
409,Bandarbeyla,SO,73.69,scattered clouds,9.4942,50.8122,Super secret pirate cove
410,Eyl,SO,70.72,scattered clouds,7.9803,49.8164,DAAWAD HOTEL EYL
414,Nanga Eboko,CM,70.99,broken clouds,4.6833,12.3667,Akila Hotel
416,Kudahuvadhoo,MV,82.15,clear sky,2.6708,72.8944,Dhaalu Inn Kudahuvadhoo by Atoll Hotels
421,Marawi,PH,81.0,few clouds,7.9986,124.2928,Dr. Tomanina Usman-Sarip
423,Luanda,AO,75.2,light rain,-8.8368,13.2343,Fly Hotel
424,Tanhacu,BR,76.71,clear sky,-14.0214,-41.2481,Tanhacu Palace Hotel
425,Pangai,TO,81.66,overcast clouds,-19.8,-174.35,EVALONI GUEST HOUSE
428,Sur,OM,78.22,clear sky,22.5667,59.5289,Sur Hotel
430,Itapirapua,BR,71.2,moderate rain,-15.8233,-50.6133,Hotel Primavera
440,Quatre Cocos,MU,81.0,light rain,-20.2078,57.7625,LUX Belle Mare Resort & Villas
442,Conselheiro Pena,BR,76.98,broken clouds,-19.1722,-41.4722,Hotel Delmus
452,Tuy Hoa,VN,79.43,broken clouds,13.0833,109.3,Năm Ấy Homestay
458,Pyinmana,MM,79.9,scattered clouds,19.7333,96.2167,Ruby Motel
461,Parrita,CR,71.6,few clouds,9.5201,-84.3225,Hotel Cocomar
463,Hualmay,PE,72.59,overcast clouds,-11.0964,-77.6139,Paradisse
464,Angoche,MZ,76.46,light rain,-16.2325,39.9086,HESADA APARTMENTS
468,Sibolga,ID,77.63,light rain,1.7427,98.7792,Hotel Wisata Indah
470,Kavaratti,IN,82.06,clear sky,10.5669,72.642,SHAAS Residency
473,Gambela,ET,81.66,broken clouds,8.25,34.5833,Baro Genena Hotel
474,Oriximina,BR,76.77,overcast clouds,-1.7656,-55.8661,Resort Recanto Da Mata
476,Nisia Floresta,BR,80.6,scattered clouds,-6.0911,-35.2086,Chácara Santana
483,Tual,ID,82.71,overcast clouds,-5.6667,132.75,Sofayananbasecamp
486,Gizo,SB,83.48,light rain,-8.103,156.8419,Gizo Hotel
494,Saint-Paul,RE,80.6,moderate rain,-21.0096,55.2707,Apartment Allee des Becs Roses
496,Chicama,PE,75.85,broken clouds,-7.8447,-79.1469,Bungalow Las Estrellas
504,Phonhong,LA,78.8,clear sky,18.5007,102.4166,Taveexai GH
505,Key West,US,75.2,light rain,24.5557,-81.7826,"Casa Marina Key West, A Waldorf Astoria Resort"
506,Auki,SB,83.55,overcast clouds,-8.7676,160.7034,The Hilltop Guesthouse & Training Centre
508,Felipe Carrillo Puerto,MX,71.35,broken clouds,19.5833,-88.05,La Casa de los Sueños Uh Nahil Na'ayo'ob
510,Kinkala,CG,71.6,few clouds,-4.3614,14.7644,Logis M'Adele
511,Chinchinim,IN,77.0,mist,15.2,73.9667,"The Zuri White Sands, Goa Resort & Casino"
512,Padang,ID,73.4,light rain,-0.9492,100.3543,Daima Hotel Padang
514,Ladario,BR,74.48,overcast clouds,-19.0047,-57.6017,Candeias Hotel Gold Fish
515,Benguela,AO,77.67,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
516,Bitung,ID,84.2,few clouds,1.4451,125.1824,Peoplesight Learning Center ( PLC )
523,Gambiran,ID,79.3,overcast clouds,-6.7988,111.4951,Rental alat camping
524,Maceio,BR,75.2,clear sky,-9.6658,-35.7353,"Hostel , Albergue & Spa STUDIO H"
525,Nkayi,CG,71.24,overcast clouds,-4.1841,13.2884,Declaise de M'BAMA
529,Sao Joao Da Barra,BR,74.8,heavy intensity rain,-21.6403,-41.0511,Estância dos Lagos
532,Labuan,MY,84.2,few clouds,5.2767,115.2417,Lazenda Hotel
537,Placido De Castro,BR,73.6,overcast clouds,-10.3353,-67.1856,Hotel Ferreira
538,Coahuayana,MX,73.4,clear sky,18.7333,-103.6833,Finca La Marmolina
546,Matamoros,MX,71.6,few clouds,25.5333,-103.25,Recreativo Sabdy Briseidy
550,Buenos Aires,AR,71.01,clear sky,-34.6132,-58.3772,Exe Hotel Colón
557,Maputo,MZ,78.01,broken clouds,-25.9653,32.5892,Polana Serena Hotel
564,Pimenta Bueno,BR,74.23,moderate rain,-11.6725,-61.1936,Hotel Kanaan
