City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Gulu,UG,2021-03-04 00:08:04,2.7746,32.299,72.64,37,74,5.5
200,Newton Abbot,GB,2021-03-04 00:08:04,50.5286,-3.6119,48.0,97,68,4.0
201,Port Elizabeth,ZA,2021-03-04 00:06:19,-33.918,25.5701,68.0,88,40,10.36
202,Dauriya,RU,2021-03-04 00:08:04,49.9333,116.8667,1.42,84,49,12.77
203,Jumla,NP,2021-03-04 00:08:04,29.2747,82.1838,36.73,70,0,3.33
204,Los Algarrobos,PA,2021-03-04 00:08:05,8.5,-82.4333,86.0,66,20,5.75
205,Meulaboh,ID,2021-03-04 00:08:05,4.1363,96.1285,75.36,79,58,2.08
206,Nanortalik,GL,2021-03-04 00:08:05,60.1432,-45.2371,37.33,77,100,21.41
207,Raesfeld,DE,2021-03-04 00:08:06,51.7667,6.85,44.01,83,0,4.0
208,Aklavik,CA,2021-03-04 00:05:23,68.2191,-135.0107,-16.6,63,100,4.61
209,Sibolga,ID,2021-03-04 00:07:13,1.7427,98.7792,75.65,70,87,5.5
210,Kutum,SD,2021-03-04 00:03:09,14.2,24.6667,57.0,31,51,9.35
211,Ancud,CL,2021-03-04 00:08:07,-41.8697,-73.8203,59.0,72,75,4.61
212,Robertson,US,2021-03-04 00:08:07,36.5167,-86.8667,55.4,47,1,5.68
213,Ambikapur,IN,2021-03-04 00:08:08,23.1167,83.2,58.87,29,0,1.88
214,Krasnoselkup,RU,2021-03-04 00:08:08,65.7,82.4667,1.65,93,100,21.34
215,Olafsvik,IS,2021-03-04 00:03:22,64.8945,-23.7142,40.48,92,93,17.58
216,Phuket,TH,2021-03-04 00:07:02,8.0,98.25,86.0,94,20,12.28
217,Leningradskiy,RU,2021-03-04 00:08:09,69.3833,178.4167,-14.44,85,91,17.34
218,Tucuman,AR,2021-03-04 00:08:09,-26.8241,-65.2226,73.4,88,75,4.61
219,Port Hueneme,US,2021-03-04 00:08:09,34.1478,-119.1951,61.0,51,20,3.44
220,Boyabat,TR,2021-03-04 00:08:10,41.4689,34.7667,35.2,84,85,1.07
221,Kirkenaer,NO,2021-03-04 00:08:10,60.4564,12.0582,34.0,64,0,8.05
222,Lasa,IT,2021-03-04 00:07:41,46.6166,10.7002,39.99,80,0,3.44
223,Nantucket,US,2021-03-04 00:06:27,41.2835,-70.0995,37.99,87,1,10.36
224,Amboise,FR,2021-03-04 00:08:11,47.4125,0.9827,48.2,93,75,1.14
225,Belaya Gora,RU,2021-03-04 00:08:11,68.5333,146.4167,-28.62,84,100,8.16
226,Flin Flon,CA,2021-03-04 00:08:12,54.7682,-101.865,30.2,69,20,6.91
227,Padang,ID,2021-03-04 00:08:12,-0.9492,100.3543,73.4,94,20,2.3
228,Gat,IL,2021-03-04 00:06:33,31.61,34.7642,51.01,100,67,6.04
229,Nizwa,OM,2021-03-04 00:08:12,22.9333,57.5333,65.7,45,0,1.05
230,Naze,JP,2021-03-04 00:08:13,28.3667,129.4833,64.4,63,75,13.8
231,Paramonga,PE,2021-03-04 00:08:13,-10.6667,-77.8333,73.6,75,10,5.91
232,Pecos,US,2021-03-04 00:08:13,31.4229,-103.4932,77.0,8,1,8.05
233,Manaquiri,BR,2021-03-04 00:08:14,-3.3167,-60.35,75.2,94,75,3.44
234,Alofi,NU,2021-03-04 00:08:14,-19.0595,-169.9187,84.2,79,40,9.22
235,Carson City,US,2021-03-04 00:03:47,39.1638,-119.7674,55.4,12,1,0.76
236,Kemijarvi,FI,2021-03-04 00:08:14,66.7131,27.4306,16.11,91,19,8.43
237,Tacoronte,ES,2021-03-04 00:08:15,28.4769,-16.4102,63.0,94,75,11.5
238,Bardiyah,LY,2021-03-04 00:08:15,31.7561,25.0865,54.16,67,0,10.27
239,Sao Jose De Piranhas,BR,2021-03-04 00:08:16,-7.1206,-38.5019,77.59,55,33,4.12
240,Buala,SB,2021-03-04 00:08:16,-8.145,159.5921,82.22,76,98,8.68
241,Maceio,BR,2021-03-04 00:06:26,-9.6658,-35.7353,78.8,78,20,8.05
242,Lata,PT,2021-03-04 00:08:17,40.1629,-8.3327,57.99,88,84,0.96
243,Conceicao Do Araguaia,BR,2021-03-04 00:08:17,-8.2578,-49.2647,73.85,93,95,1.68
244,Dabat,ET,2021-03-04 00:08:17,12.9842,37.765,52.83,64,45,5.1
245,Lompoc,US,2021-03-04 00:06:39,34.6391,-120.4579,55.4,67,90,8.05
246,Karaton,ID,2021-03-04 00:08:18,-6.3424,106.1045,80.01,88,20,3.44
247,Asfi,MA,2021-03-04 00:08:18,32.2994,-9.2372,58.44,82,51,5.95
248,Leh,IN,2021-03-04 00:08:19,34.1667,77.5833,10.69,80,87,2.75
249,Atherton,GB,2021-03-04 00:08:19,53.5237,-2.4935,39.0,78,46,1.99
250,Sungaipenuh,ID,2021-03-04 00:07:13,-2.0833,101.3833,65.14,92,100,4.14
251,Eirunepe,BR,2021-03-04 00:08:20,-6.6603,-69.8736,73.09,96,83,2.04
252,Yagodnoye,RU,2021-03-04 00:08:20,62.55,149.6667,-19.89,83,100,3.8
253,Norman Wells,CA,2021-03-04 00:05:24,65.282,-126.8329,-7.6,54,40,2.68
254,Arauco,CL,2021-03-04 00:05:03,-37.2463,-73.3175,64.4,77,0,14.97
255,Port-Gentil,GA,2021-03-04 00:05:23,-0.7193,8.7815,82.4,89,20,8.05
256,Asau,RO,2021-03-04 00:08:21,46.4333,26.4,37.99,93,8,6.73
257,Yangambi,CD,2021-03-04 00:07:08,0.8102,24.4336,73.53,76,68,1.92
258,Mazamari,PE,2021-03-04 00:08:21,-11.3258,-74.5308,75.34,67,81,1.57
259,Esso,RU,2021-03-04 00:08:22,55.9333,158.7,-3.57,80,81,27.18
260,Bay City,US,2021-03-04 00:08:22,43.5945,-83.8889,35.01,80,1,6.91
261,Sakakah,SA,2021-03-04 00:08:23,29.9697,40.2064,59.0,36,0,10.36
262,Siteki,SZ,2021-03-04 00:08:23,-26.45,31.95,62.6,88,4,4.61
263,Oistins,BB,2021-03-04 00:07:23,13.0667,-59.5333,78.8,69,40,17.27
264,Mao,ES,2021-03-04 00:08:24,39.8885,4.2658,51.8,87,75,6.91
265,Broome,US,2021-03-04 00:08:24,42.2506,-75.833,37.4,65,90,9.22
266,Dolinsk,RU,2021-03-04 00:08:24,47.35,142.8,28.4,93,75,17.9
267,Maniitsoq,GL,2021-03-04 00:08:24,65.4167,-52.9,33.62,83,37,5.59
268,Byron Bay,AU,2021-03-04 00:08:25,-28.65,153.6167,73.0,88,90,3.44
269,Sovetskiy,RU,2021-03-04 00:08:25,61.3614,63.5842,8.64,95,89,4.68
270,Havre-Saint-Pierre,CA,2021-03-04 00:08:25,50.2334,-63.5986,17.6,67,90,21.85
271,Gladstone,AU,2021-03-04 00:08:26,-23.85,151.25,78.8,65,75,12.66
272,Chara,RU,2021-03-04 00:08:26,56.9064,118.2631,-21.32,77,100,3.04
273,Bereda,ES,2021-03-04 00:08:26,43.2686,-7.5406,48.0,100,84,3.0
274,Novyy Urengoy,RU,2021-03-04 00:08:26,66.0833,76.6333,5.9,94,100,17.07
275,Dong Hoi,VN,2021-03-04 00:08:27,17.4833,106.6,69.21,87,91,3.15
276,Shuangyashan,CN,2021-03-04 00:08:00,46.6361,131.1539,32.81,86,95,14.43
277,Goderich,CA,2021-03-04 00:05:16,43.7501,-81.7165,33.8,100,66,9.22
278,Yar-Sale,RU,2021-03-04 00:08:28,66.8333,70.8333,6.04,95,100,10.71
279,Grindavik,IS,2021-03-04 00:08:28,63.8424,-22.4338,37.4,93,75,21.85
280,Cabo San Lucas,MX,2021-03-04 00:03:49,22.8909,-109.9124,82.4,16,75,3.44
281,Rio Gallegos,AR,2021-03-04 00:06:46,-51.6226,-69.2181,53.6,76,20,19.57
282,Kamaishi,JP,2021-03-04 00:07:22,39.2667,141.8833,32.0,74,75,1.14
283,Ozernovskiy,RU,2021-03-04 00:08:29,51.5,156.5167,18.81,87,100,34.99
284,Goma,CD,2021-03-04 00:08:29,-1.6792,29.2228,63.43,81,98,2.46
285,Provideniya,RU,2021-03-04 00:08:30,64.3833,-173.3,-5.8,71,0,2.24
286,Tula,RU,2021-03-04 00:08:30,54.2044,37.6111,30.97,98,100,16.87
287,Teixeira,BR,2021-03-04 00:08:30,-7.2228,-37.2542,71.74,75,32,11.32
288,San Francisco,US,2021-03-04 00:04:18,37.7749,-122.4194,57.2,62,75,8.05
289,Kavaratti,IN,2021-03-04 00:08:31,10.5669,72.642,81.23,71,0,4.29
290,Ramos Arizpe,MX,2021-03-04 00:08:31,25.55,-100.9667,69.8,40,75,9.22
291,San Quintin,MX,2021-03-04 00:08:31,30.4833,-115.95,61.07,65,65,13.78
292,Sao Jose Da Coroa Grande,BR,2021-03-04 00:08:32,-8.8978,-35.1478,78.4,83,10,9.24
293,Vangaindrano,MG,2021-03-04 00:08:32,-23.35,47.6,74.52,89,51,3.98
294,Surt,LY,2021-03-04 00:08:33,31.2089,16.5887,56.59,72,0,15.64
