City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
214,Orbetello,IT,42.4408,11.2196,43.0,93,0,4.61,clear sky
215,Saint-Pierre,RE,-21.3393,55.4781,78.8,83,75,13.8,light rain
216,Saraland,US,30.8207,-88.0706,57.0,46,0,1.01,clear sky
217,Bilibino,RU,68.0546,166.4372,-14.96,83,100,10.07,overcast clouds
218,Touros,BR,-5.1989,-35.4608,77.0,88,40,3.44,scattered clouds
219,Thompson,CA,55.7435,-97.8558,41.0,52,75,9.22,broken clouds
220,Uncia,BO,-18.467,-66.5685,46.22,72,5,3.71,clear sky
221,Sibenik,HR,43.7272,15.9058,39.2,41,0,8.05,clear sky
222,Ust-Shonosha,RU,61.1531,41.343,8.76,94,100,10.18,overcast clouds
223,Luganville,VU,-15.5333,167.1667,76.44,89,100,4.7,overcast clouds
224,Dongsheng,CN,39.8161,109.9776,37.54,60,0,9.73,clear sky
225,Sorland,NO,67.667,12.6934,35.82,81,100,28.23,overcast clouds
226,Port-Gentil,GA,-0.7193,8.7815,80.78,81,100,10.78,overcast clouds
227,Santa Fe,AR,-31.6333,-60.7,70.0,69,0,1.01,clear sky
228,Sungaipenuh,ID,-2.0833,101.3833,64.38,97,100,0.78,overcast clouds
229,Kieta,PG,-6.2167,155.6333,81.19,79,100,4.85,moderate rain
230,Vardo,NO,70.3705,31.1107,26.49,95,97,28.54,light snow
231,Omboue,GA,-1.5746,9.2618,77.18,77,97,2.82,overcast clouds
232,Khairpur Nathan Shah,PK,27.0936,67.7337,67.84,38,0,2.77,clear sky
233,Booue,GA,-0.0921,11.9385,73.27,94,100,1.72,overcast clouds
234,Porterville,US,36.0652,-119.0168,61.0,48,40,9.22,scattered clouds
235,Rio Grande,BR,-32.035,-52.0986,62.01,95,8,6.46,clear sky
236,Goderich,CA,43.7501,-81.7165,24.8,68,1,10.36,clear sky
237,Cabedelo,BR,-6.9811,-34.8339,77.0,94,20,9.71,few clouds
238,Zelenoborskiy,RU,66.845,32.3622,12.99,96,100,14.88,light snow
239,Dingle,PH,10.9995,122.6711,82.98,64,96,15.08,overcast clouds
240,Namatanai,PG,-3.6667,152.4333,83.48,72,100,4.34,moderate rain
241,Sharanga,RU,57.1775,46.5396,-0.04,94,87,4.5,overcast clouds
242,Tiarei,PF,-17.5333,-149.3333,87.01,66,40,5.75,light rain
243,Hakui,JP,36.8833,136.7833,46.99,52,100,1.99,overcast clouds
244,Hithadhoo,MV,-0.6,73.0833,83.41,76,61,10.22,broken clouds
245,Palmas,BR,-10.2128,-48.3603,73.4,100,75,3.44,broken clouds
246,Hofn,IS,64.2539,-15.2082,38.5,73,80,3.24,broken clouds
247,Okhotsk,RU,59.3833,143.3,-11.52,81,0,16.2,clear sky
248,Muros,ES,42.7762,-9.0603,46.0,79,0,5.01,clear sky
249,Nishihara,JP,26.1842,127.7558,69.8,83,90,10.36,mist
250,Tilichiki,RU,60.4667,166.1,-13.63,84,100,13.65,overcast clouds
251,Te Anau,NZ,-45.4167,167.7167,60.04,42,8,9.26,clear sky
252,San Cristobal,VE,7.7669,-72.225,78.8,78,75,6.91,fog
253,Am Timan,TD,11.0297,20.2827,74.86,19,15,8.14,few clouds
254,South Lake Tahoe,US,38.9332,-119.9844,46.4,65,1,3.71,clear sky
255,Salalah,OM,17.0151,54.0924,73.4,53,0,3.44,clear sky
256,Zabol,AF,32.25,67.25,44.22,49,0,11.43,clear sky
257,Soyo,AO,-6.1349,12.3689,77.14,84,100,8.16,overcast clouds
258,Vikhorevka,RU,56.1201,101.1636,24.8,50,100,8.95,overcast clouds
259,Kruisfontein,ZA,-34.0033,24.7314,66.0,78,4,1.01,clear sky
260,Vao,NC,-22.6667,167.4833,76.08,69,0,13.27,clear sky
261,Ewa Beach,US,21.3156,-158.0072,78.8,53,20,10.36,light rain
262,Lethem,GY,3.3803,-59.7968,79.45,71,14,11.68,few clouds
263,Zhezkazgan,KZ,47.8043,67.7144,17.19,94,65,5.14,broken clouds
264,Orodara,BF,10.9492,-4.9342,82.4,57,20,5.75,few clouds
265,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,0,20.71,clear sky
266,Dondo,MZ,-19.6094,34.7431,71.29,94,25,2.59,scattered clouds
267,Saint-Louis,SN,16.3333,-15.0,80.17,17,98,15.93,overcast clouds
268,Abdanan,IR,32.9926,47.4198,47.48,54,0,6.38,clear sky
269,Morro Bay,US,35.3658,-120.8499,54.0,87,32,7.0,scattered clouds
270,Nemuro,JP,43.3236,145.575,24.8,46,20,10.36,few clouds
271,Yairipok,IN,24.6667,94.0667,62.6,94,40,0.47,mist
272,Lata,PT,40.1629,-8.3327,53.01,95,0,1.86,clear sky
273,Sobolevo,RU,54.4299,31.8996,25.32,95,100,20.42,overcast clouds
274,Kaniama,CD,-7.5667,24.1833,66.07,94,100,2.04,overcast clouds
275,Carutapera,BR,-1.195,-46.02,77.25,87,99,5.41,light rain
276,Visby,SE,57.6409,18.296,35.6,55,90,20.71,overcast clouds
277,Kencong,ID,-8.2833,113.3667,84.07,68,83,1.01,broken clouds
278,San Andres,CO,12.5847,-81.7006,78.8,69,20,8.05,few clouds
279,Emerald,AU,-23.5333,148.1667,91.99,45,33,12.66,scattered clouds
280,Yar-Sale,RU,66.8333,70.8333,-10.79,90,96,9.22,overcast clouds
281,Mount Gambier,AU,-37.8333,140.7667,62.6,59,90,5.75,overcast clouds
282,Savonlinna,FI,61.8699,28.88,19.4,79,0,12.66,light snow
283,Port Hedland,AU,-20.3167,118.5667,87.8,62,40,9.22,scattered clouds
284,Chimore,BO,-16.9833,-65.1333,76.17,76,91,1.7,overcast clouds
285,Bure,ET,10.7,37.0667,63.32,37,36,2.53,scattered clouds
286,Yanam,IN,16.7333,82.2167,77.0,78,21,2.1,mist
287,Huarmey,PE,-10.0681,-78.1522,73.63,73,100,9.01,overcast clouds
288,Imbituba,BR,-28.24,-48.6703,73.4,83,75,3.44,broken clouds
289,East London,ZA,-33.0153,27.9116,71.01,82,79,18.41,broken clouds
290,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,72,75,19.57,broken clouds
291,Antigonish,CA,45.6169,-61.9986,24.01,83,4,1.01,clear sky
292,Ola,RU,59.5833,151.2833,-1.97,74,93,4.03,overcast clouds
293,Illintsi,UA,49.1048,29.2177,24.87,94,0,11.1,clear sky
294,Tukrah,LY,32.5341,20.5791,58.57,62,0,5.26,clear sky
295,Ilheus,BR,-14.7889,-39.0494,74.89,91,96,6.02,overcast clouds
296,San Diego De La Union,MX,21.4667,-100.8667,59.0,54,74,8.99,broken clouds
297,Acarau,BR,-2.8856,-40.12,79.36,81,54,11.88,broken clouds
298,Bolshoye Nagatkino,RU,54.5196,47.9679,-5.8,77,82,4.74,broken clouds
299,Ocos,GT,14.5094,-92.1933,77.0,94,1,3.44,clear sky
300,Adrar,MR,20.5022,-10.0711,66.85,29,99,16.53,overcast clouds
301,Porto Novo,BJ,6.4965,2.6036,84.2,89,40,13.8,scattered clouds
302,Ponta Do Sol,PT,32.6667,-17.1,57.0,62,1,1.01,clear sky
303,Beni,CD,0.5,29.4667,63.27,99,97,2.89,overcast clouds
304,Poum,NC,-20.2333,164.0167,79.41,66,67,12.3,broken clouds
305,Cheremukhovo,RU,60.3484,59.9851,-8.97,88,2,2.48,clear sky
306,Rawah,IQ,34.4816,41.9093,55.17,43,100,4.9,overcast clouds
307,Matara,LK,5.9485,80.5353,76.42,84,1,3.58,clear sky
308,Lasa,IT,46.6166,10.7002,39.0,86,0,3.44,clear sky
309,Halifax,CA,44.6453,-63.5724,27.0,68,6,10.36,clear sky
310,Tiruttani,IN,13.177,79.6128,75.2,78,20,5.75,mist
311,Mazamari,PE,-11.3258,-74.5308,70.9,82,100,1.79,overcast clouds
312,Batemans Bay,AU,-35.7167,150.1833,71.01,76,5,8.01,clear sky
313,Santa Luzia,BR,-19.7697,-43.8514,66.2,100,100,2.3,overcast clouds
314,Mirnyy,RU,62.5353,113.9611,14.74,96,97,5.75,light snow
315,Flinders,AU,-34.5833,150.8552,78.01,60,37,4.0,scattered clouds
316,Caravelas,BR,-17.7125,-39.2481,77.94,87,19,10.11,few clouds
317,Tukan,RU,53.8409,57.4552,10.42,96,100,0.96,light snow
318,Poselki,RU,53.1324,46.5031,6.12,95,30,3.94,scattered clouds
319,Charters Towers,AU,-20.1,146.2667,87.28,48,0,15.46,clear sky
320,Geraldton,AU,-28.7667,114.6,87.8,42,0,12.66,clear sky
321,Klaksvik,FO,62.2266,-6.589,39.2,100,40,6.91,scattered clouds
322,Manono,CD,-7.3,27.4167,70.5,95,100,2.28,overcast clouds
323,Annau,TM,37.8876,58.516,39.2,93,40,2.3,scattered clouds
324,Awbari,LY,26.5921,12.7805,60.35,29,0,6.64,clear sky
325,Nenjiang,CN,49.1833,125.2167,14.49,91,0,10.16,clear sky
326,Clyde River,CA,70.4692,-68.5914,-22.0,63,1,9.22,clear sky
327,Yumen,CN,40.2833,97.2,38.93,59,74,3.29,broken clouds
